scenario,scale_gev,log10_scale_gev,gY,g2,g3,lambdaH,C5_norm_gev_inverse,mass_norm_ev,m_light_ev,m_middle_ev,m_heavy_ev
eft_only,485.6572094146234,2.6863298400722226,0.36842699343164154,0.6133142807236485,0.8382438834303974,0.21092195024723676,8.906389659150262e-16,0.05399435352991032,0.0010610246358641337,0.009226123865425406,0.05318968958599831
eft_only,467.54227344519336,2.6698208842865503,0.3683447583604207,0.6134902164299153,0.8392381364865195,0.2115156521729679,8.90039315948291e-16,0.05395800017738791,0.0010603102342767552,0.009219912013316983,0.053153878012961335
eft_only,450.1030216802083,2.6533119285008775,0.36826257833068343,0.6136663036301696,0.8402359358494259,0.21211131363821534,8.894384915946894e-16,0.05392157562849742,0.001059594433686618,0.009213687995867605,0.053117996304554556
eft_only,433.3142512072821,2.636802972715205,0.36818045328105664,0.613842542541949,0.8412373026510142,0.2127089456137208,8.888364891043765e-16,0.05388507965590717,0.001058877229626681,0.00920745177423308,0.053082044236834096
eft_only,417.1516991786143,2.620294016929533,0.36809838315026294,0.6140189333832293,0.8422422581998937,0.2133085591658286,8.88233304705691e-16,0.05384851203096288,0.001058158617603904,0.009201203309343193,0.053046021584553134
eft_only,401.5920077467337,2.60378506114386,0.3680163678771205,0.6141954763724244,0.8432508239832892,0.21391016545756403,8.876289346049698e-16,0.053811872523676425,0.0010574385930990518,0.009194942561899833,0.053009928121150955
eft_only,386.6126903081323,2.5872761053581876,0.367934407400543,0.6143721717283885,0.8442630216689694,0.2145137757497261,8.87023374986357e-16,0.053775160902714246,0.0010567171515664415,0.009188669492374985,0.05297376361874139
eft_only,372.192099006003,2.5707671495725153,0.3678525016595392,0.6145490196704166,0.8452788731072006,0.2151194014019954,8.86416622011613e-16,0.05373837693538581,0.0010559942884337309,0.009182384061008764,0.0529375278481016
eft_only,358.3093934451233,2.5542581937868425,0.3677706505932128,0.6147260204182459,0.8462984003327256,0.2157270538740564,8.858086718199219e-16,0.053701520387631894,0.0010552699991016586,0.009176086227807427,0.052901220578660396
eft_only,344.9445105736691,2.53774923800117,0.3676888541407625,0.6149031741920566,0.8473216255667873,0.21633674472674336,8.851995205276865e-16,0.05366459102401218,0.001054544278943869,0.009169775952541237,0.052864841578486074
eft_only,332.07813568842835,2.521240282215498,0.3676071122414815,0.6150804812124737,0.8483485712191619,0.21694848562319793,8.845891642283361e-16,0.0536275886076936,0.0010538171233066018,0.009163453194742453,0.05282839061427499
eft_only,319.6916745215194,2.5047313264298254,0.36752542483475736,0.6152579417005675,0.8493792598901887,0.2175622883300257,8.839775989921371e-16,0.05359051290043887,0.0010530885275085121,0.009157117913703446,0.05279186745134013
eft_only,307.76722636826815,2.4882223706441526,0.36744379186007203,0.6154355558778551,0.8504137143728866,0.21817816471849263,8.83364820865976e-16,0.05355336366259327,0.001052358486840416,0.009150770068474335,0.05275527185359824
eft_only,296.28755821741294,2.4717134148584803,0.3673622132570014,0.6156133239663019,0.8514519576550699,0.21879612676572907,8.827508258731545e-16,0.053516140653072294,0.0010516269965650128,0.009144409617860966,0.05271860358355753
eft_only,285.23607984624556,2.455204459072808,0.3672806889652153,0.6157912461883215,0.8524940129214932,0.21941618655595022,8.821356100131829e-16,0.053478843629349126,0.001050894051916681,0.009138036520422705,0.052681862402305435
eft_only,274.59681984470257,2.4386955032871356,0.3671992189244772,0.6159693227667785,0.8535399035560242,0.22003835628169358,8.815191692615731e-16,0.053441472347442016,0.0010501596481011862,0.009131650734470361,0.05264504806949611
eft_only,264.3544025337525,2.422186547501463,0.3671178030746441,0.6161475539249885,0.8545896531438465,0.22066264824507376,8.809014995696253e-16,0.05340402656190144,0.001049423780295475,0.009125252218063882,0.052608160343337845
eft_only,254.4940257447249,2.4056775917157904,0.36703644135566615,0.61632593988672,0.8556432854736927,0.2212890748590548,8.802825968642155e-16,0.05336650602579713,0.0010486864436473852,0.009118840929010242,0.05257119898058022
eft_only,245.00143942746436,2.389168635930118,0.3669551337075868,0.6165044808761948,0.856700824540107,0.22191764864874064,8.79662457047578e-16,0.053328910490704984,0.0010479476332754022,0.009112416824861143,0.052534163736501265
eft_only,235.8629250563994,2.3726596801444453,0.3668738800705424,0.6166831771180902,0.8577622945457403,0.22254838225268375,8.790410759970869e-16,0.053291239706693715,0.0010472073442683947,0.009105979862910786,0.052497054364894255
eft_only,227.0652758047614,2.356150724358773,0.3667926803847619,0.616862028837539,0.8588277199036756,0.22318128842421242,8.784184495650334e-16,0.05325349342231143,0.001046465571685346,0.00909953000019347,0.052459870618054565
eft_only,218.59577745829995,2.3396417685731006,0.3667115345905671,0.617041036260132,0.8598971252397861,0.22381638003277715,8.777945735784013e-16,0.05321567138457202,0.0010457223105551027,0.009093067193481423,0.052422612246766156
eft_only,210.44219004091573,2.323132812787428,0.3666304426283719,0.617220199611918,0.8609705353951265,0.2244536700653161,8.771694438386404e-16,0.05317777333894133,0.0010449775558760868,0.009086591399282315,0.052385279000288075
eft_only,202.5927301256543,2.3066238570017554,0.3665494044386825,0.6173995191194055,0.8620479754283558,0.22509317162764036,8.765430561214355e-16,0.05313979902932329,0.0010442313026160152,0.009080102573836945,0.052347870626340706
eft_only,195.03605380549473,2.290114901216083,0.36646841996209706,0.6175789950095644,0.8631294706181954,0.22573489794583923,8.759154061764743e-16,0.05310174819804573,0.001043483545711666,0.009073600673116782,0.05231038687109182
eft_only,187.76124029932757,2.2736059454304103,0.36638748913930574,0.6177586275098264,0.8642150464659214,0.22637886236770546,8.752864897272116e-16,0.05306362058584611,0.001042734280068532,0.00906708565282157,0.05227282747914254
eft_only,180.75777616942665,2.257096989644738,0.3663066119110901,0.6179384168480863,0.8653047286978898,0.22702507836418157,8.746563024706306e-16,0.05302541593185714,0.0010419835005605921,0.009060557468376838,0.052235192193513066
